Year,Pob_Mex,Pob_USA,Pob_China,Pob_India,Pob_UK,Pob_Rus,Pob_Japan,Pob_Qatar,Pob_Aus,Pob_SA
1960,37771859,180671000,667070000,450547679,52400000,119897000,92500572,47384,10276477,17099840
1961,38966056,183691000,660330000,459642165,52800000,121236000,94943000,51421,10483000,17524533
1962,40195319,186538000,665770000,469077190,53250000,122591000,95832000,56262,10742000,17965725
1963,41462369,189242000,682335000,478825608,53650000,123960000,96812000,61716,10950000,18423161
1964,42771079,191889000,698355000,488848135,54000000,125345000,97826000,67566,11167000,18896307
1965,44123853,194303000,715185000,499123324,54348050,126745000,98883000,73633,11388000,19384841
1966,45519737,196560000,735400000,509631500,54648500,127468000,99790000,79846,11651000,19888250
1967,46956208,198712000,754550000,520400576,54943600,128196000,100725000,86302,11799000,20406864
1968,48431972,200706000,774510000,531513824,55211700,128928000,101061000,93211,12009000,20942145
1969,49945279,202677000,796025000,543084336,55441750,129664000,103172000,100883,12263000,21496075
1970,51493565,205052000,818315000,555189792,55663250,130404000,104345000,109514,12507000,22069776
1971,53076373,207661000,841105000,567868018,55896223,131155000,105697000,119414,12937000,22665271
1972,54689943,209896000,862030000,581087256,56086065,131909000,107188000,130500,13177000,23281508
1973,56324303,211909000,881940000,594770134,56194527,132669000,108079000,142186,13380000,23913099
1974,57966804,213854000,900350000,608802600,56229974,133432000,110162000,153621,13723000,24552540
1975,59607953,215973000,916395000,623102897,56225800,134200000,111940000,164320,13893000,25195187
1976,61242190,218035000,930685000,637630087,56211968,135147000,112771000,173721,14033000,25836888
1977,62869903,220239000,943455000,652408776,56193492,136100000,113863000,182318,14192000,26480913
1978,64494869,222585000,956165000,667499806,56196504,137060000,114898000,191951,14358000,27138965
1979,66123897,225055000,969005000,682995354,56246951,138027000,115870000,205171,14514000,27827320
1980,67761372,227225000,981235000,698952844,56314216,139010000,116782000,223632,14692000,28556769
1981,69407624,229466000,993885000,715384993,56333829,139941000,117648000,247988,14927000,29333103
1982,71058654,231664000,1008630000,732239504,56313641,140823000,118449000,277226,15178000,30150448
1983,72709299,233792000,1023310000,749428958,56332848,141668000,119259000,309306,15369000,30993758
1984,74352631,235825000,1036825000,766833410,56422072,142745000,120018000,341272,15544000,31841593
1985,75983485,237924000,1051040000,784360008,56550268,143858000,120754000,370890,15758000,32678874
1986,77599098,240133000,1066790000,801975244,56681396,144894000,121492000,397740,16018400,33495953
1987,79200081,242289000,1084035000,819682102,56802050,145908000,122091000,422148,16263900,34297727
1988,80788721,244499000,1101630000,837468930,56928327,146857000,122613000,443605,16532200,35100909
1989,82368931,246819000,1118650000,855334678,57076711,147721000,123116000,461690,16814400,35930050
1990,83943132,249623000,1135185000,873277798,57247586,148292000,123537000,476278,17065100,36800509
1991,85512623,252981000,1150780000,891273209,57424897,148624000,123921000,487353,17284000,37718950
1992,87075138,256514000,1164970000,909307016,57580402,148689000,124229000,495395,17495000,38672607
1993,88625440,259919000,1178440000,927403860,57718614,148520000,124536000,501479,17667000,39633750
1994,90156400,263126000,1191835000,945601831,57865745,148336000,124961000,507041,17855000,40564059
1995,91663285,266278000,1204855000,963922588,58019030,148375726,125439000,513442,18072000,41435758
1996,93147044,269394000,1217550000,982365243,58166950,148160042,125757000,522531,18311000,42241011
1997,94611002,272657000,1230075000,1000900030,58316954,147915307,126057000,535321,18517000,42987461
1998,96056321,275854000,1241935000,1019483581,58487141,147670692,126400000,551562,18711000,43682260
1999,97484832,279040000,1252735000,1038058156,58682466,147214392,126631000,570489,18926000,44338543
2000,98899845,282162411,1262645000,1056575549,58892514,146596557,126843000,592468,19153000,44967708
2001,100298153,284968955,1271850000,1075000085,59119673,145976083,127149000,615012,19413000,45571274
2002,101684758,287625193,1280400000,1093317189,59370479,145306046,127445000,640868,19651400,46150913
2003,103081020,290107933,1288400000,1111523144,59647577,144648257,127718000,681788,19895400,46719196
2004,104514932,292805298,1296075000,1129623456,59987905,144067054,127761000,753334,20127400,47291610
2005,106005203,295516599,1303720000,1147609927,60401206,143518523,127773000,865416,20394800,47880601
2006,107560153,298379912,1311020000,1165486291,60846820,143049528,127854000,1022711,20697900,48489459
2007,109170502,301231207,1317885000,1183209472,61322463,142805088,128001000,1218434,20827600,49119759
2008,110815271,304093966,1324655000,1200669765,61806995,142742350,128063000,1436665,21249200,49779471
2009,112463887,306771529,1331260000,1217726215,62276270,142785342,128047000,1654950,21691700,50477011
2010,114092963,309326085,1337705000,1234281170,62766365,142849449,128070000,1856327,22031750,51216964
2011,115695473,311580009,1344130000,1250288729,63258918,142960868,127833000,2035871,22340024,52004172
2012,117274155,313874218,1350695000,1265782790,63700300,143201676,127629000,2196074,22733465,52834005
2013,118827161,316057727,1357380000,1280846129,64128226,143506911,127445000,2336574,23128129,53689236
2014,120355128,318386421,1364270000,1295604184,64613160,143819666,127276000,2459198,23475686,54545991
2015,121858258,320742673,1371220000,1310152403,65128861,144096870,127141000,2565710,23815995,55386367
2016,123333376,323071342,1378665000,1324509589,65595565,144342396,126994511,2654374,24190907,56203654
