,Year,T_CelsiusCAN,T_FarenheitCAN,dT_Celsius_CAN,dT_Farenheit_CAN,CO2_Canada
1,1960,-6.4908,20.31656,,,10.77084729
2,1961,-7.390573333333333,18.696968,-0.8997733333333331,-1.6195920000000008,10.62789765
3,1962,-6.976666666666667,19.442,0.41390666666666664,0.7450320000000019,11.13062748
4,1963,-6.792631666666668,19.773263,0.18403499999999884,0.33126299999999986,11.1321024
5,1964,-7.679681666666667,18.176572999999998,-0.8870499999999995,-1.5966900000000024,12.3053704
6,1965,-7.597081666666667,18.325253,0.08260000000000023,0.14868000000000237,12.81400147
7,1966,-7.400682499999999,18.678771500000003,0.19639916666666757,0.3535185000000034,12.93491815
8,1967,-7.430855,18.624461,-0.030172500000000824,-0.05431050000000326,13.8103546
9,1968,-6.868944166666666,19.635900499999998,0.561910833333334,1.011439499999998,14.6326452
10,1969,-6.586138333333333,20.144951,0.28280583333333276,0.5090505000000007,14.61864861
11,1970,-7.206939166666667,19.0275095,-0.6208008333333339,-1.1174414999999982,16.01414875
12,1971,-7.005590833333334,19.389936499999997,0.20134833333333368,0.3624269999999967,16.05533218
13,1972,-8.951065833333333,15.888081500000002,-1.9454749999999992,-3.5018549999999955,17.15406592
14,1973,-6.346726666666666,20.575892000000003,2.6043391666666666,4.687810500000001,16.96713528
15,1974,-7.861009166666666,17.8501835,-1.5142825000000002,-2.725708500000003,17.09800561
16,1975,-7.1391,19.14962,0.7219091666666664,1.2994364999999988,17.16020892
17,1976,-6.941474166666667,19.5053465,0.1976258333333334,0.35572650000000294,17.02862407
18,1977,-6.0110025,21.1801955,0.9304716666666666,1.6748489999999983,17.20283524
19,1978,-7.4133008333333335,18.6560585,-1.4022983333333334,-2.5241369999999996,17.35562946
20,1979,-7.281226666666666,18.893792,0.13207416666666738,0.23773350000000093,18.26610116
21,1980,-6.491176666666667,20.315882,0.790049999999999,1.4220899999999972,18.07962055
22,1981,-4.947253333333333,23.094943999999998,1.5439233333333338,2.7790619999999997,17.32493528
23,1982,-8.0299175,17.5461485,-3.0826641666666665,-5.548795499999997,16.51518883
24,1983,-6.94961,19.490702,1.0803075,1.9445534999999978,16.11132555
25,1984,-6.8374291666666664,19.6926275,0.1121808333333334,0.20192550000000153,16.62025251
26,1985,-6.94425,19.500349999999997,-0.10682083333333381,-0.192277500000003,16.33299046
27,1986,-7.0463625,19.3165475,-0.1021124999999996,-0.18380249999999876,15.51911259
28,1987,-5.6790075,21.777786499999998,1.3673549999999999,2.461238999999999,16.31019464
29,1988,-6.121959166666667,20.980473500000002,-0.44295166666666663,-0.7973129999999955,17.02217437
30,1989,-7.1554174999999995,19.120248500000002,-1.033458333333333,-1.8602249999999998,16.98419297
31,1990,-7.1663225,19.1006195,-0.010905000000000165,-0.019629000000001895,15.71554138
32,1991,-6.548698333333334,20.212342999999997,0.6176241666666655,1.1117234999999965,15.22180457
33,1992,-7.095869166666667,19.2274355,-0.5471708333333325,-0.9849074999999985,15.54314788
34,1993,-6.4398316666666675,20.408302999999997,0.6560374999999992,1.180867499999998,15.5337111
35,1994,-6.416501666666666,20.450297,0.023330000000001405,0.04199400000000253,15.75307185
36,1995,-6.272845,20.708879,0.14365666666666588,0.25858200000000053,15.95907715
37,1996,-7.017297500000001,19.3688645,-0.7444525000000004,-1.3400144999999988,16.1910295
38,1997,-6.323375000000001,20.617925,0.6939224999999993,1.2490604999999988,16.56173401
39,1998,-4.6594175,23.613048499999998,1.6639575000000013,2.9951234999999983,16.79757271
40,1999,-5.460449166666667,22.1711915,-0.8010316666666668,-1.4418569999999988,16.95288535
41,2000,-6.2110125,20.8201775,-0.750563333333333,-1.3510139999999993,17.41463895
42,2001,-5.404357500000001,22.2721565,0.8066549999999992,1.4519790000000015,17.01842806
43,2002,-6.4187683333333325,20.446217,-1.014410833333332,-1.8259395000000005,16.56039221
44,2003,-5.9090050000000005,21.363791,0.509763333333332,0.9175739999999983,17.47884132
45,2004,-7.0771283333333335,19.261169,-1.168123333333333,-2.102622,17.32455499
46,2005,-5.349289166666666,22.3712795,1.7278391666666675,3.110110500000001,17.41190097
47,2006,-4.633815,23.659132999999997,0.7154741666666657,1.287853499999997,17.56133592
48,2007,-6.174463333333333,20.885966000000003,-1.5406483333333325,-2.7731669999999937,17.38715721
49,2008,-6.482341666666667,20.331785,-0.3078783333333339,-0.5541810000000034,16.89745662
50,2009,-6.266198333333333,20.720843000000002,0.21614333333333402,0.3890580000000021,15.82542959
51,2010,-4.186646666666667,24.464036,2.0795516666666654,3.743192999999998,15.5055134
52,2011,-5.709931666666667,21.722123,-1.5232849999999996,-2.7419130000000003,15.22379395
53,2012,-5.398873333333333,22.282028,0.31105833333333344,0.5599050000000005,14.91382201
54,2013,-6.4649600000000005,20.363072,-1.066086666666667,-1.9189560000000014,14.7988829
55,2014,-6.220375833333333,20.8033235,0.2445841666666677,0.44025150000000224,15.25547233
56,2015,-5.953935833333333,21.2829155,0.26643999999999934,0.47959200000000024,15.38895031
57,2016,-4.965330833333334,23.0624045,0.9886049999999997,1.779488999999998,15.09005647
