Date,Temperature,Anomaly
1960,51.44,-0.58
1961,51.87,-0.15
1962,51.9,-0.12
1963,52.26,0.24
1964,51.67,-0.35
1965,51.69,-0.33
1966,51.49,-0.53
1967,51.76,-0.26
1968,51.32,-0.7
1969,51.5,-0.52
1970,51.61,-0.41
1971,51.66,-0.36
1972,51.37,-0.65
1973,52.29,0.27
1974,52.26,0.24
1975,51.5,-0.52
1976,51.47,-0.55
1977,52.55,0.53
1978,51.04,-0.98
1979,50.88,-1.14
1980,52.39,0.37
1981,53.12,1.1
1982,51.34,-0.68
1983,51.88,-0.14
1984,51.97,-0.05
1985,51.3,-0.72
1986,53.32,1.3
1987,53.33,1.31
1988,52.63,0.61
1989,51.84,-0.18
1990,53.51,1.49
1991,53.16,1.14
1992,52.6,0.58
1993,51.26,-0.76
1994,52.87,0.85
1995,52.65,0.63
1996,51.88,-0.14
1997,52.2,0.18
1998,54.23,2.21
1999,53.88,1.86
2000,53.27,1.25
2001,53.69,1.67
2002,53.21,1.19
2003,53.26,1.24
2004,53.1,1.08
2005,53.64,1.62
2006,54.25,2.23
2007,53.65,1.63
2008,52.29,0.27
2009,52.39,0.37
2010,52.98,0.96
2011,53.18,1.16
2012,55.28,3.26
2013,52.43,0.41
2014,52.54,0.52
2015,54.4,2.38
2016,54.92,2.9
